Frequency,DutyCycle,Run,RPM
2250.0,174.0,1.0,451.43
2250.0,176.0,1.0,448.57
2250.0,178.0,1.0,448.57
2250.0,180.0,1.0,462.86
2250.0,182.0,1.0,474.29
2250.0,184.0,1.0,480.0
2250.0,186.0,1.0,480.0
2250.0,188.0,1.0,482.86
2250.0,190.0,1.0,485.71
2250.0,192.0,1.0,485.71
2250.0,194.0,1.0,488.57
2250.0,196.0,1.0,488.57
2250.0,198.0,1.0,491.43
2250.0,200.0,1.0,491.43
2250.0,202.0,1.0,491.43
2250.0,204.0,1.0,494.29
2250.0,206.0,1.0,494.29
2250.0,208.0,1.0,494.29
2250.0,210.0,1.0,497.14
2250.0,212.0,1.0,497.14
2250.0,214.0,1.0,497.14
2250.0,216.0,1.0,500.0
2250.0,218.0,1.0,502.86
2250.0,220.0,1.0,502.86
2250.0,222.0,1.0,505.71
2250.0,224.0,1.0,505.71
2250.0,226.0,1.0,505.71
2250.0,228.0,1.0,505.71
2250.0,230.0,1.0,505.71
2250.0,232.0,1.0,508.57
2250.0,234.0,1.0,508.57
2250.0,236.0,1.0,508.57
2250.0,238.0,1.0,508.57
2250.0,240.0,1.0,511.43
2250.0,242.0,1.0,514.29
2250.0,244.0,1.0,514.29
2250.0,246.0,1.0,514.29
2250.0,248.0,1.0,517.14
2250.0,250.0,1.0,520.0
2250.0,252.0,1.0,520.0
2250.0,254.0,1.0,528.57
2500.0,0.0,1.0,0.0
2500.0,2.0,1.0,0.0
2500.0,4.0,1.0,0.0
2500.0,6.0,1.0,0.0
2500.0,8.0,1.0,0.0
2500.0,10.0,1.0,0.0
2500.0,12.0,1.0,0.0
2500.0,14.0,1.0,0.0
2500.0,16.0,1.0,0.0
2500.0,18.0,1.0,0.0
2500.0,20.0,1.0,0.0
2500.0,22.0,1.0,0.0
2500.0,24.0,1.0,0.0
2500.0,26.0,1.0,0.0
2500.0,28.0,1.0,0.0
2500.0,30.0,1.0,0.0
2500.0,32.0,1.0,0.0
2500.0,34.0,1.0,0.0
2500.0,36.0,1.0,0.0
2500.0,38.0,1.0,0.0
2500.0,40.0,1.0,0.0
2500.0,42.0,1.0,0.0
2500.0,44.0,1.0,0.0
2500.0,46.0,1.0,0.0
2500.0,48.0,1.0,0.0
2500.0,50.0,1.0,2.86
2500.0,52.0,1.0,0.0
2500.0,54.0,1.0,0.0
2500.0,56.0,1.0,0.0
2500.0,58.0,1.0,0.0
2500.0,60.0,1.0,0.0
2500.0,62.0,1.0,0.0
2500.0,64.0,1.0,14.29
2500.0,66.0,1.0,68.57
2500.0,68.0,1.0,114.29
2500.0,70.0,1.0,145.71
2500.0,72.0,1.0,174.29
2500.0,74.0,1.0,194.29
2500.0,76.0,1.0,214.29
2500.0,78.0,1.0,228.57
2500.0,80.0,1.0,242.86
2500.0,82.0,1.0,260.0
2500.0,84.0,1.0,268.57
2500.0,86.0,1.0,277.14
2500.0,88.0,1.0,285.71
2500.0,90.0,1.0,297.14
2500.0,92.0,1.0,305.71
2500.0,94.0,1.0,314.29
